QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
155,Haematology,1,"A patient with a DVT is started on warfarin. On day 3, they develop extensive skin necrosis. What is the most likely underlying condition?",Heparin-induced thrombocytopenia,Protein C deficiency,Factor V Leiden,Antithrombin III deficiency,B,"Warfarin-induced skin necrosis, occurring in the first few days of therapy, classically unmasks PROTEIN C deficiency. Warfarin lowers the vitamin-K-dependent factors II, VII, IX, X AND the anticoagulant proteins C and S; because protein C has a short half-life, its level falls first, creating a transient PROCOAGULANT state that thromboses dermal microvasculature. Bridging heparin and slow warfarin initiation reduce this risk.","HIT causes thrombosis and thrombocytopenia from heparin (anti-PF4 antibodies), not warfarin-induced skin necrosis.",,Factor V Leiden increases venous thrombosis risk but is not the classic cause of warfarin skin necrosis.,Antithrombin deficiency causes thrombophilia and heparin resistance but is not the classic warfarin-necrosis association (protein C is).
156,Haematology,1,Disseminated intravascular coagulation (DIC) is characterised by which laboratory findings?,"Prolonged PT and APTT, low fibrinogen, elevated D-dimer, low platelets","Prolonged PT only, normal platelets","Normal PT and APTT, elevated fibrinogen",Isolated thrombocytopenia with normal coagulation,A,"DIC is a consumptive coagulopathy: widespread activation of coagulation consumes clotting factors and platelets while triggering fibrinolysis. The laboratory hallmark is PROLONGED PT AND APTT, LOW fibrinogen, RAISED D-dimer/FDPs and THROMBOCYTOPENIA, often with a microangiopathic haemolytic picture (schistocytes). Treatment targets the underlying cause with supportive blood-product replacement.",,A prolonged PT with normal platelets does not capture the consumption of platelets and fibrinogen that defines DIC.,Normal PT/APTT with high fibrinogen is inconsistent with the consumptive coagulopathy of DIC.,"Isolated thrombocytopenia with normal coagulation suggests ITP, not DIC."
157,Haematology,2,"A 70-year-old man has a lymphocyte count of 25 × 10⁹/L. Blood film shows smear cells. Flow cytometry shows CD5+, CD19+, CD23+ B cells. What is the diagnosis?",Mantle cell lymphoma,Chronic lymphocytic leukaemia,Hairy cell leukaemia,Marginal zone lymphoma,B,"An older patient with a mature lymphocytosis, smear (smudge) cells on the film and a B-cell immunophenotype of CD5+, CD19+, CD23+ has chronic lymphocytic leukaemia. CLL is staged by Binet or Rai systems; many are asymptomatic at diagnosis. The CD5+/CD23+ combination distinguishes it from mantle cell lymphoma.",Mantle cell lymphoma is also CD5+ but is CD23-NEGATIVE and carries t(11;14)/cyclin D1.,,"Hairy cell leukaemia shows 'hairy' cells with CD11c/CD25/CD103 positivity and pancytopenia, not CD5+/CD23+ lymphocytosis.",Marginal-zone lymphoma is typically CD5-negative.
158,Haematology,1,A patient with iron deficiency anaemia has a blood film showing pencil cells and target cells. Which finding on iron studies is most consistent with iron deficiency?,"High serum ferritin, low transferrin saturation","Low serum ferritin, high total iron-binding capacity","Normal ferritin, normal TIBC","High serum ferritin, high TIBC",B,"Iron-deficiency anaemia shows LOW ferritin (the most useful single test, reflecting depleted stores), low serum iron, HIGH total iron-binding capacity/transferrin (up-regulated to capture iron) and low transferrin saturation. A low ferritin is highly specific; because ferritin rises with inflammation, a low value is diagnostically strong. Blood film shows microcytic hypochromic cells with pencil forms.","High ferritin is seen in inflammation/iron overload, not iron deficiency.",,"Normal ferritin and TIBC would not fit iron deficiency, in which ferritin is low and TIBC high.",High ferritin with high TIBC is contradictory and not the iron-deficiency pattern (ferritin should be LOW).
159,Haematology,1,Heparin-induced thrombocytopenia (HIT) type II typically occurs how many days after starting heparin?,Within 24 hours,5-14 days,21-28 days,After 3 months,B,"Immune (type II) HIT characteristically develops 5–14 days after starting heparin (sooner with recent prior exposure). Anti-PF4/heparin antibodies activate platelets, causing a fall in platelet count AND paradoxical arterial/venous thrombosis. Management is to STOP all heparin immediately and anticoagulate with a non-heparin agent (e.g. argatroban, danaparoid or fondaparinux).","A drop within 24 hours (without prior exposure) is usually non-immune type-I HIT, a transient benign dip, not immune HIT.",,21–28 days is later than the typical immune-HIT window.,Onset after 3 months would be atypical; classic immune HIT is 5–14 days.
160,Haematology,2,A patient with Philadelphia chromosome-positive CML is started on imatinib. What is the target of this tyrosine kinase inhibitor?,JAK2,BCR-ABL fusion protein,BRAF,EGFR,B,"Imatinib is a tyrosine-kinase inhibitor that targets the BCR-ABL fusion protein produced by the Philadelphia chromosome t(9;22) in chronic myeloid leukaemia. Blocking this constitutively active kinase halts the leukaemic clone, achieving deep cytogenetic/molecular responses. Treatment response is monitored by quantitative BCR-ABL transcript levels.","JAK2 is the driver in polycythaemia vera and other myeloproliferative neoplasms, not the imatinib target.",,"BRAF (V600E) is targeted by vemurafenib in melanoma, not by imatinib.","EGFR is targeted by agents such as erlotinib in lung cancer, not by imatinib."
161,Haematology,1,"A patient with sickle cell disease presents with severe anaemia, reticulocyte count of 0.1%, and absent erythroid precursors on bone marrow biopsy. What is the most likely cause?",Splenic sequestration crisis,Aplastic crisis due to parvovirus B19,Haemolytic crisis,Vaso-occlusive crisis,B,"In sickle cell disease, an APLASTIC crisis is caused by parvovirus B19, which infects erythroid progenitors and temporarily shuts down red-cell production. The result is worsening anaemia with a very LOW reticulocyte count and an 'empty' erythroid marrow. It is self-limiting (7–10 days) but can be dangerous, often needing transfusion support.","Splenic sequestration causes sudden splenic enlargement and anaemia but with a HIGH reticulocyte count (marrow is active), not aplasia.",,"A haemolytic crisis increases red-cell destruction with a HIGH reticulocyte response, the opposite of aplasia.",A vaso-occlusive crisis causes ischaemic pain without the reticulocytopenia and marrow aplasia described.
162,Haematology,1,Which clotting factor is deficient in haemophilia A?,Factor VII,Factor VIII,Factor IX,Factor XI,B,"Haemophilia A is an X-linked recessive deficiency of clotting factor VIII, so it predominantly affects males. It prolongs the APTT with a normal PT and causes haemarthroses, muscle haematomas and excessive bleeding after trauma or surgery. Treatment is factor VIII replacement (with desmopressin useful in mild disease).","Factor VII deficiency prolongs the PT and is a rarer, separate disorder.",,"Factor IX deficiency is haemophilia B (Christmas disease), not haemophilia A.","Factor XI deficiency (haemophilia C) is a distinct, usually milder bleeding disorder."
163,Haematology,2,"A 55-year-old man presents with pruritus after a hot bath, plethoric face, and splenomegaly. Hb is 195 g/L, haematocrit 0.58, and JAK2 V617F mutation is positive. What is the diagnosis?",Secondary polycythaemia,Polycythaemia vera,Essential thrombocythaemia,Chronic myeloid leukaemia,B,"Aquagenic pruritus after a hot bath, plethora, splenomegaly, a high Hb/haematocrit and a JAK2 V617F mutation indicate polycythaemia vera, a myeloproliferative neoplasm driven by JAK2 mutation in >95% of cases. Management is venesection to keep haematocrit <0.45, low-dose aspirin, and cytoreduction (e.g. hydroxycarbamide) in higher-risk patients to reduce thrombosis.","Secondary polycythaemia (e.g. hypoxia, EPO-secreting tumour) raises Hb but is JAK2-NEGATIVE and lacks splenomegaly/aquagenic pruritus.",,"Essential thrombocythaemia primarily raises the PLATELET count, not the haematocrit.","CML is a granulocytic proliferation with the Philadelphia chromosome, not JAK2-driven erythrocytosis."
164,Haematology,1,Which investigation is the gold standard for diagnosing hereditary spherocytosis?,Osmotic fragility test,Eosin-5-maleimide (EMA) binding test,Direct Coombs test,Haemoglobin electrophoresis,B,"The eosin-5-maleimide (EMA) binding test by flow cytometry is now the preferred diagnostic test for hereditary spherocytosis, offering higher sensitivity and specificity than osmotic fragility. It detects reduced binding to red-cell membrane proteins (notably band 3). The direct antiglobulin (Coombs) test is NEGATIVE, distinguishing HS from autoimmune haemolysis.","The osmotic fragility test is the older, less sensitive/specific method that EMA binding has largely replaced.",,"A direct Coombs test is used to detect autoimmune haemolysis and is negative in HS, so it does not diagnose it.","Haemoglobin electrophoresis diagnoses haemoglobinopathies (e.g. thalassaemia), not a membrane defect like HS."
165,Haematology,1,What is the most common inherited bleeding disorder?,Haemophilia A,Haemophilia B,Von Willebrand disease,Factor VII deficiency,C,"Von Willebrand disease is the commonest inherited bleeding disorder, affecting up to ~1% of the population. Deficient or dysfunctional von Willebrand factor impairs platelet adhesion (and lowers factor VIII), causing mucocutaneous bleeding — epistaxis, menorrhagia, easy bruising and bleeding after dental/surgical procedures. Type 1 (partial quantitative deficiency) is the most frequent form.",Haemophilia A is X-linked and much rarer than VWD.,Haemophilia B is rarer still than haemophilia A.,,"Factor VII deficiency is a rare autosomal disorder, far less common than VWD."
166,Haematology,2,A patient with multiple myeloma has a serum calcium of 3.5 mmol/L. Which IV therapy should be given first to lower calcium?,IV pamidronate,IV 0.9% normal saline,IV furosemide,Calcitonin,B,"The first step in treating severe hypercalcaemia (here 3.5 mmol/L in myeloma) is aggressive rehydration with IV 0.9% saline — these patients are invariably volume-depleted, and restoring circulating volume increases renal calcium excretion. Once rehydrated, an IV bisphosphonate (pamidronate or zoledronic acid) gives more sustained calcium lowering over subsequent days.",IV bisphosphonate is important but works over days and should follow rehydration; it is not the immediate first step.,,Loop diuretics are no longer routinely recommended and can worsen dehydration if given before volume repletion.,"Calcitonin lowers calcium modestly and briefly; it is adjunctive, not the primary first-line therapy."
167,Haematology,1,"A blood film shows sickle cells, target cells, and Howell-Jolly bodies. The Howell-Jolly bodies indicate:",Iron deficiency,Functional asplenia,Megaloblastic anaemia,Lead poisoning,B,"Howell–Jolly bodies are nuclear DNA remnants within red cells that are normally 'pitted out' by a functioning spleen; their presence indicates hyposplenism or asplenia. In sickle cell disease, repeated splenic infarction leads to functional autosplenectomy, so these patients require prophylactic vaccination (pneumococcus, meningococcus, Hib) and often penicillin.","Iron deficiency causes pencil cells and hypochromia, not Howell–Jolly bodies.",,"Megaloblastic anaemia causes hypersegmented neutrophils and macro-ovalocytes, not Howell–Jolly bodies as its hallmark.","Lead poisoning causes basophilic stippling, not Howell–Jolly bodies."
168,Haematology,1,"Which type of anaemia is characterised by low MCV, raised red cell distribution width, and raised HbA2 on electrophoresis?",Iron deficiency anaemia,Beta-thalassaemia trait,Alpha-thalassaemia trait,Sideroblastic anaemia,B,"Beta-thalassaemia trait produces a MICROcytic anaemia with a disproportionately low MCV relative to only mild anaemia, a raised red-cell count and a RAISED HbA₂ (>3.5%) on electrophoresis. Iron studies are normal, which — together with the raised HbA₂ — distinguishes it from iron deficiency and prevents inappropriate iron therapy.","Iron deficiency has a LOW ferritin and a NORMAL HbA₂, unlike thalassaemia trait.",,Alpha-thalassaemia trait typically has a NORMAL HbA₂ (the raised HbA₂ points specifically to beta-trait).,"Sideroblastic anaemia shows ring sideroblasts and often iron overload, without a raised HbA₂."
169,Haematology,2,"A 35-year-old woman presents with petechiae, mucosal bleeding, and isolated thrombocytopenia (platelets 15 × 10⁹/L). Blood film is otherwise normal. Bone marrow shows increased megakaryocytes. What is the diagnosis?",Aplastic anaemia,Immune thrombocytopenic purpura (ITP),Thrombotic thrombocytopenic purpura,Myelodysplastic syndrome,B,"Isolated thrombocytopenia with mucocutaneous bleeding, a normal blood film and INCREASED marrow megakaryocytes indicates immune thrombocytopenic purpura — peripheral antibody-mediated platelet destruction with a compensatory marrow response. It is a diagnosis of exclusion. First-line treatment for significant thrombocytopenia/bleeding is corticosteroids, with IVIG for rapid rises when bleeding.","Aplastic anaemia causes pancytopenia with a HYPOcellular marrow, not isolated thrombocytopenia with abundant megakaryocytes.",,"TTP shows microangiopathic haemolysis with schistocytes and neurological/renal features, not an isolated normal-film thrombocytopenia.","Myelodysplasia shows dysplastic changes and often multilineage cytopenias, not this isolated picture."
170,Haematology,1,Warm autoimmune haemolytic anaemia is typically mediated by which immunoglobulin class?,IgM,IgG,IgA,IgE,B,"Warm autoimmune haemolytic anaemia is mediated by IgG antibodies that bind red cells optimally at body temperature (37 °C), leading to EXTRAvascular haemolysis as splenic macrophages remove antibody-coated cells. The direct Coombs test is positive; first-line treatment is corticosteroids. (Cold AIHA is IgM-mediated with complement-driven intravascular haemolysis.)","IgM mediates COLD agglutinin disease, which acts at low temperatures with complement activation.",,IgA is not the typical mediator of warm AIHA.,"IgE mediates type-I hypersensitivity/allergy, not autoimmune haemolysis."
171,Haematology,1,"A patient receiving a blood transfusion develops fever, chills, and back pain 30 minutes into the transfusion. Urine is dark red. What is the most likely reaction?",Febrile non-haemolytic transfusion reaction,Acute haemolytic transfusion reaction,Transfusion-related acute lung injury,Bacterial contamination,B,"Fever, rigors, loin/back pain and haemoglobinuria beginning soon after a transfusion indicate an acute haemolytic transfusion reaction, usually from ABO incompatibility with complement-mediated intravascular haemolysis. The transfusion must be STOPPED immediately; send the unit and fresh samples for a repeat group-and-crossmatch/DAT, and support the circulation and renal output with IV fluids.",A febrile non-haemolytic reaction causes fever/chills WITHOUT haemoglobinuria or loin pain and is due to cytokines/anti-leucocyte antibodies.,,"TRALI presents with acute hypoxaemia and bilateral pulmonary infiltrates, not haemoglobinuria and loin pain.",Bacterial contamination causes rapid high fever and shock; haemoglobinuria with loin pain points specifically to acute haemolysis.
172,Infectious Diseases,1,A patient with HIV has a CD4 count of 50 cells/μL and presents with headache and confusion. India ink staining of CSF shows encapsulated yeast. What is the diagnosis?,Toxoplasma encephalitis,Cryptococcal meningitis,CMV encephalitis,Progressive multifocal leukoencephalopathy,B,"Headache and confusion in advanced HIV (CD4 <100) with encapsulated yeast on India-ink staining of CSF indicate cryptococcal meningitis (Cryptococcus neoformans). CSF/serum cryptococcal antigen (CrAg) is more sensitive than India ink. Treatment is induction with IV amphotericin B plus flucytosine, then fluconazole; managing raised intracranial pressure with repeated LPs is crucial.","Toxoplasma encephalitis produces multiple ring-enhancing brain lesions, not encapsulated yeast in CSF.",,"CMV in AIDS classically causes retinitis or encephalitis/ventriculitis, not India-ink-positive yeast.","PML (JC virus) causes progressive focal deficits with non-enhancing white-matter lesions, not a yeast meningitis."
173,Infectious Diseases,1,"A patient returns from sub-Saharan Africa with cyclical fevers every 48 hours, headache, and splenomegaly. Blood film shows ring forms within red blood cells. What is the most dangerous species?",Plasmodium vivax,Plasmodium falciparum,Plasmodium ovale,Plasmodium malariae,B,"Plasmodium falciparum causes the most dangerous malaria — cerebral malaria, severe anaemia, ARDS, AKI and hypoglycaemia — because it infects red cells of all ages (high parasitaemia) and sequesters in the microvasculature. Severe falciparum is treated with IV artesunate. Any traveller from an endemic area with fever needs urgent malaria films/RDT.",P. vivax causes relapsing but generally less severe disease (dormant hypnozoites need primaquine after checking G6PD).,,"P. ovale is also a relapsing, milder species requiring primaquine for hypnozoites.",P. malariae causes a chronic low-grade quartan malaria and is not the most severe species.
174,Infectious Diseases,2,A healthcare worker sustains a needlestick injury from a known HIV-positive patient on effective ART with undetectable viral load. What is the recommended PEP protocol?,No PEP needed as viral load is undetectable,Start 3-drug PEP within 72 hours for 28 days,Single-dose PEP only,PEP for 7 days only,B,"After a significant needlestick from a known HIV-positive source, post-exposure prophylaxis is recommended even if the source viral load is 'undetectable', because undetectable does not guarantee zero infectivity and viral-load data may be unreliable at the moment of exposure. Standard PEP is a 3-drug regimen (e.g. tenofovir/emtricitabine plus raltegravir) for 28 days, started as soon as possible and within 72 hours.",'No PEP' is unsafe — guidelines still advise PEP for significant exposure regardless of a reportedly undetectable load.,,A single dose is inadequate; a full 28-day course is required.,Seven days is too short — the evidence-based course is 28 days.
175,Infectious Diseases,1,A patient with suspected community-acquired pneumonia has a CURB-65 score of 3. Where should they be managed?,Home with oral antibiotics,Hospital ward with IV antibiotics,Intensive care unit,Ambulatory care with daily review,B,"A CURB-65 score of 3 indicates high-severity community-acquired pneumonia, warranting hospital admission with intravenous antibiotics and consideration of critical-care input. CURB-65 scores each of Confusion, Urea >7 mmol/L, Respiratory rate ≥30, Blood pressure <90/60 and age ≥65; scores of 3–5 mark high risk.","Home treatment with oral antibiotics is appropriate for low scores (0–1), not a score of 3.",,ICU is considered particularly at scores of 4–5 or with organ failure; a score of 3 mandates admission but not automatic ICU.,"Ambulatory management is for low-risk patients, not a CURB-65 of 3."
176,Infectious Diseases,1,"Which antibiotic is first-line for treating Clostridioides difficile infection (initial episode, non-severe)?",Oral metronidazole,Oral vancomycin,IV vancomycin,Oral fidaxomicin,D,"Current NICE/UKHSA guidance recommends ORAL FIDAXOMICIN as first-line for an initial episode of Clostridioides difficile infection, because it achieves comparable cure with LOWER recurrence than vancomycin. Oral vancomycin is the main alternative first-line; the precipitating antibiotic should be stopped and infection-control measures applied.","Oral metronidazole is no longer first-line owing to inferior cure and higher recurrence, reserved only when preferred agents are unavailable.",Oral vancomycin is an acceptable alternative first-line but fidaxomicin is now preferred for its lower recurrence.,IV vancomycin does not achieve adequate luminal colonic concentrations and is ineffective for C. difficile (the drug must reach the gut lumen).,
177,Infectious Diseases,2,A patient presents with painless genital ulceration and inguinal lymphadenopathy. Dark-field microscopy of ulcer exudate shows spirochaetes. Treponemal serology is positive. What is the diagnosis and treatment?,Chancroid; azithromycin,Primary syphilis; IM benzathine penicillin G,Herpes simplex; aciclovir,Lymphogranuloma venereum; doxycycline,B,"A PAINLESS genital ulcer (chancre) with regional lymphadenopathy, spirochaetes on dark-field microscopy and positive treponemal serology is primary syphilis (Treponema pallidum). Treatment is a single intramuscular dose of benzathine penicillin G 2.4 MU; patients should be warned about a possible Jarisch–Herxheimer reaction in the first 24 hours.",Chancroid (Haemophilus ducreyi) causes PAINFUL ulcers and would not show treponemes on dark-field microscopy.,,"HSV causes painful grouped vesicles/ulcers, not a painless spirochaete-positive chancre.","LGV (Chlamydia) causes tender inguinal buboes with a transient ulcer, and is not treponeme-positive."
178,Infectious Diseases,1,"A child presents with fever, sore throat, cervical lymphadenopathy, and atypical lymphocytes on blood film. Paul-Bunnell test (heterophile antibodies) is positive. What is the diagnosis?",Streptococcal pharyngitis,Infectious mononucleosis (EBV),CMV infection,Toxoplasmosis,B,"Fever, exudative pharyngitis, cervical lymphadenopathy, atypical lymphocytes and a positive heterophile (Paul–Bunnell/Monospot) test indicate infectious mononucleosis caused by EBV. Amoxicillin/ampicillin should be avoided as it precipitates a florid maculopapular rash. Patients are advised to avoid contact sport for several weeks because of the risk of splenic rupture.",Streptococcal pharyngitis does not produce atypical lymphocytes or a positive heterophile test.,,CMV can cause a similar 'mono-like' illness but is typically heterophile-NEGATIVE.,Toxoplasmosis can cause lymphadenopathy but is heterophile-negative and lacks the classic EBV serology.
179,Infectious Diseases,1,Which organism most commonly causes UTI in young women?,Klebsiella pneumoniae,Escherichia coli,Staphylococcus saprophyticus,Proteus mirabilis,B,"Escherichia coli is by far the commonest cause of uncomplicated urinary tract infection in young women, responsible for ~70–80% of cases, owing to uropathogenic strains with adhesins that colonise the periurethral area and ascend the tract. Empirical therapy (e.g. nitrofurantoin) usually covers it pending sensitivities.",Klebsiella is more associated with healthcare-acquired/complicated UTIs than uncomplicated community infection.,,"Staphylococcus saprophyticus is the SECOND commonest in young sexually active women, but E. coli predominates.","Proteus mirabilis (urease-producing, associated with struvite stones) is a less common cause."
180,Infectious Diseases,2,"A patient with latent TB (positive IGRA, normal CXR, asymptomatic) is about to start anti-TNF therapy for rheumatoid arthritis. What TB chemoprophylaxis is recommended?",No prophylaxis needed if CXR is normal,Isoniazid for 3 months with rifampicin,Full 6-month quadruple therapy,Isoniazid for 6 months or isoniazid/rifampicin for 3 months,D,"Before starting anti-TNF (or other significant immunosuppression), latent TB should be treated to prevent reactivation. Recommended regimens are isoniazid monotherapy for 6 months OR isoniazid plus rifampicin for 3 months (with pyridoxine to prevent isoniazid neuropathy). This roughly halves–to–90% reduces reactivation risk.",'No prophylaxis if CXR normal' is unsafe — a positive IGRA with planned anti-TNF still warrants latent-TB treatment.,"Three months of isoniazid + rifampicin is correct, but the stem's option B is phrased as a partial/incorrect regimen; the recognised options are 6 months isoniazid OR 3 months isoniazid+rifampicin (option D).","Full quadruple therapy is for ACTIVE TB, not latent infection.",
181,Infectious Diseases,1,Erythema migrans (expanding annular erythematous rash) following a tick bite is pathognomonic for which infection?,Rocky Mountain spotted fever,Lyme disease (Borrelia burgdorferi),Tularaemia,Ehrlichiosis,B,"Erythema migrans — a slowly expanding annular erythema, often with central clearing, after a tick bite — is pathognomonic of early Lyme disease (Borrelia burgdorferi) and can be diagnosed CLINICALLY without waiting for serology. First-line treatment is doxycycline (amoxicillin if doxycycline is contraindicated). Untreated disease can progress to arthritis, neuropathy and heart block.","Rocky Mountain spotted fever (Rickettsia rickettsii) causes a petechial rash spreading from wrists/ankles, not a single expanding annular lesion.",,"Tularaemia causes ulceroglandular disease, not erythema migrans.","Ehrlichiosis causes a non-specific febrile illness with cytopenias, not erythema migrans."
182,Infectious Diseases,1,"A patient from South Asia presents with fever, weight loss, hepatosplenomegaly, and pancytopenia. Bone marrow aspirate shows amastigotes within macrophages. What is the diagnosis?",Miliary tuberculosis,Visceral leishmaniasis (kala-azar),Malaria,Brucellosis,B,"Prolonged fever with massive hepatosplenomegaly and pancytopenia, plus amastigotes (Leishman–Donovan bodies) inside macrophages on marrow/splenic aspirate, indicates visceral leishmaniasis (kala-azar; Leishmania donovani). First-line treatment in most settings is liposomal amphotericin B. It is fatal if untreated.","Miliary TB causes disseminated small nodules and fevers but shows acid-fast bacilli/granulomata, not intracellular amastigotes.",,"Malaria shows parasites within red cells on the blood film, not amastigotes in macrophages.","Brucellosis causes undulant fever and can involve the marrow but is diagnosed serologically/by culture, without amastigotes."
183,Infectious Diseases,2,A patient with a prosthetic heart valve develops fever 3 months post-surgery. Blood cultures grow coagulase-negative staphylococci. What is the most likely organism?,Staphylococcus aureus,Staphylococcus epidermidis,Streptococcus bovis,Enterococcus faecalis,B,Prosthetic-valve endocarditis presenting within a year of surgery is most often caused by coagulase-negative staphylococci — chiefly Staphylococcus epidermidis — acquired perioperatively and forming biofilm on the prosthesis. Management usually needs prolonged combination antibiotics and often surgery.,"S. aureus causes aggressive endocarditis but the culture here is coagulase-NEGATIVE, i.e. S. epidermidis.",,Streptococcus bovis (gallolyticus) endocarditis is linked to colorectal neoplasia and is not a coagulase-negative staphylococcus.,Enterococcus faecalis follows GU/GI procedures and is a different organism from coagulase-negative staphylococci.
184,Infectious Diseases,1,A patient with AIDS (CD4 30) develops ring-enhancing cerebral lesions on MRI. What is the most likely diagnosis?,CNS lymphoma,Toxoplasma encephalitis,Tuberculoma,Cryptococcoma,B,Multiple ring-enhancing cerebral lesions in advanced AIDS (CD4 <100) are most commonly due to cerebral toxoplasmosis (reactivation of Toxoplasma gondii). Empirical sulfadiazine plus pyrimethamine (with folinic acid) is started; failure to improve within ~2 weeks prompts biopsy to exclude primary CNS lymphoma (typically a solitary EBV-associated lesion).,Primary CNS lymphoma is the main differential but usually causes a SINGLE lesion and is diagnosed if toxoplasmosis treatment fails.,,CNS tuberculoma is possible but less common than toxoplasmosis as a cause of multiple ring-enhancing lesions in AIDS.,Cryptococcomas are uncommon; cryptococcus more often causes meningitis than ring-enhancing masses.
185,Infectious Diseases,1,Which hepatitis virus requires co-infection with hepatitis B to replicate?,Hepatitis A,Hepatitis C,Hepatitis D (delta),Hepatitis E,C,"Hepatitis D (the delta agent) is a defective RNA virus that CANNOT replicate without hepatitis B surface antigen (HBsAg) to form its envelope, so it only infects those with hepatitis B. Simultaneous co-infection often resolves, but superinfection of a chronic HBV carrier causes more severe hepatitis and accelerated progression to cirrhosis.",Hepatitis A is an independent faeco-oral virus that does not require HBV.,Hepatitis C replicates independently and does not need HBV.,,"Hepatitis E is an independent faeco-oral virus, not HBV-dependent."
186,Infectious Diseases,2,"A returning traveller from India presents with high fever, relative bradycardia, rose spots on the abdomen, and hepatosplenomegaly. Blood culture grows a gram-negative bacillus. What is the most likely organism?",Escherichia coli,Salmonella typhi,Brucella melitensis,Yersinia enterocolitica,B,"A returning traveller with sustained high fever, RELATIVE bradycardia (pulse–temperature dissociation), rose spots on the trunk, hepatosplenomegaly and constipation has enteric (typhoid) fever due to Salmonella typhi, a Gram-negative bacillus. Blood cultures are positive in the first week. Treatment is with azithromycin or a fluoroquinolone (guided by local resistance).","E. coli causes UTIs/gastroenteritis, not this classic typhoid syndrome with rose spots and relative bradycardia.",,"Brucella causes undulant fever, arthralgia and sweats, without rose spots.","Yersinia causes mesenteric adenitis/terminal ileitis mimicking appendicitis, not typhoid."
187,Infectious Diseases,1,Which organism causes a 'rice-water' stool in severe diarrhoeal illness?,Shigella dysenteriae,Vibrio cholerae,Campylobacter jejuni,Entamoeba histolytica,B,Cholera (Vibrio cholerae) produces massive secretory diarrhoea described as 'rice-water' stools — clear fluid flecked with mucus — that can cause life-threatening dehydration within hours. The mainstay of treatment is aggressive rehydration (oral rehydration salts or IV fluids); antibiotics (doxycycline/azithromycin) shorten the illness and reduce shedding.,"Shigella causes dysentery with bloody, mucoid stools and tenesmus, not rice-water diarrhoea.",,"Campylobacter causes an inflammatory, often bloody diarrhoea, not rice-water stools.","Entamoeba histolytica causes amoebic dysentery/liver abscess, not profuse watery cholera-type stools."
188,Infectious Diseases,1,A patient develops pneumonia 5 days into a hospital admission. Blood cultures grow MRSA. Which antibiotic is most appropriate?,Flucloxacillin,Vancomycin,Amoxicillin,Ciprofloxacin,B,MRSA is resistant to ALL beta-lactams (including flucloxacillin) because of the mecA-encoded altered penicillin-binding protein. Serious MRSA infection is treated with a glycopeptide — vancomycin (or teicoplanin); linezolid is an alternative with good lung penetration for MRSA pneumonia. Daptomycin must NOT be used for pneumonia as pulmonary surfactant inactivates it.,Flucloxacillin is a beta-lactam and is INEFFECTIVE against MRSA.,,Amoxicillin is a beta-lactam and does not cover MRSA.,Ciprofloxacin has unreliable MRSA activity and resistance is common; it is not appropriate empirical MRSA therapy.
189,Infectious Diseases,2,The standard first-line treatment for drug-susceptible pulmonary tuberculosis is:,Isoniazid and rifampicin for 6 months,"Rifampicin, isoniazid, pyrazinamide, and ethambutol for 2 months, then rifampicin and isoniazid for 4 months",Rifampicin and ethambutol for 9 months,Isoniazid monotherapy for 12 months,B,"Standard treatment for drug-susceptible pulmonary TB is 2 months of four drugs — rifampicin, isoniazid, pyrazinamide and ethambutol (RIPE) — followed by 4 months of rifampicin and isoniazid, a total of 6 months. Pyridoxine is co-prescribed with isoniazid to prevent peripheral neuropathy, and treatment is usually directly observed/supported to ensure adherence.",Rifampicin + isoniazid for 6 months alone omits the essential initial intensive phase (pyrazinamide/ethambutol).,,Rifampicin + ethambutol for 9 months is not a standard regimen and lacks isoniazid/pyrazinamide.,Isoniazid monotherapy for 12 months is a latent-TB (not active-TB) approach and would promote resistance if used for active disease.
190,Infectious Diseases,1,"A patient presents with bloody diarrhoea, abdominal cramps, and HUS (haemolytic uraemia, thrombocytopenia, renal failure). Which organism produces the Shiga-like toxin responsible?",Salmonella enteritidis,E. coli O157:H7 (STEC),Clostridium perfringens,Staphylococcus aureus,B,"Bloody diarrhoea followed by haemolytic-uraemic syndrome (microangiopathic haemolysis, thrombocytopenia, AKI) is caused by Shiga-toxin-producing E. coli, especially O157:H7. The Shiga-like toxin damages endothelium, triggering microthrombi. Management is SUPPORTIVE; antibiotics are AVOIDED because they may increase toxin release and the risk of HUS.",Salmonella enteritidis causes gastroenteritis but is not the classic Shiga-toxin/HUS organism.,,"Clostridium perfringens causes toxin-mediated food poisoning with watery diarrhoea, not HUS.","Staphylococcus aureus causes rapid-onset toxin food poisoning (vomiting), not Shiga-toxin HUS."
191,Infectious Diseases,1,Which infection is most associated with Ghon focus and Ghon complex on chest X-ray?,Primary pulmonary tuberculosis,Histoplasmosis,Pneumocystis jirovecii pneumonia,Aspergillosis,A,"The Ghon focus is the primary parenchymal lesion of primary pulmonary tuberculosis (often mid-zone); together with ipsilateral hilar lymphadenopathy it forms the Ghon (primary) complex, and once calcified it is the Ranke complex. Reactivation (post-primary) TB characteristically affects the upper lobes.",,"Histoplasmosis can calcify but is not the classic 'Ghon focus/complex' entity, which is TB.","PCP causes diffuse ground-glass infiltrates in immunocompromised patients, not a Ghon complex.","Aspergillosis causes cavities/aspergilloma or invasive disease, not a Ghon complex."
